symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-10-11 00:00:00+00:00,105.91,108.93,104.2,105.35,63904282,100.5294333491,103.3960076925,98.9063068168,99.9978831397,63904282,0.0,1.0
MSFT,2018-10-12 00:00:00+00:00,109.57,111.24,107.12,109.01,47742109,104.0034936461,105.5886523062,101.67796148,103.4719434367,47742109,0.0,1.0
MSFT,2018-10-15 00:00:00+00:00,107.6,109.48,106.95,108.91,32068103,102.1335759452,103.9180659339,101.5165980236,103.3770237564,32068103,0.0,1.0
MSFT,2018-10-16 00:00:00+00:00,111.0,111.41,108.95,109.54,31610164,105.3608450736,105.7500157626,103.4149916285,103.975017742,31610164,0.0,1.0
MSFT,2018-10-17 00:00:00+00:00,110.71,111.81,109.55,111.68,26548243,105.0855780009,106.1296944836,103.98450971,106.0062988993,26548243,0.0,1.0
MSFT,2018-10-18 00:00:00+00:00,108.5,110.53,107.83,110.1,32506192,102.9878530674,104.9147225764,102.3518912098,104.5065679514,32506192,0.0,1.0
MSFT,2018-10-19 00:00:00+00:00,108.66,110.86,108.21,108.93,32785475,103.1397245558,105.2279575213,102.7125859947,103.3960076925,32785475,0.0,1.0
MSFT,2018-10-22 00:00:00+00:00,109.63,110.54,108.24,109.32,26545607,104.0604454542,104.9242145445,102.7410618988,103.7661944455,26545607,0.0,1.0
MSFT,2018-10-23 00:00:00+00:00,108.1,108.97,105.11,107.77,43770429,102.6081743464,103.4339755646,99.7700759071,102.2949394016,43770429,0.0,1.0
MSFT,2018-10-24 00:00:00+00:00,102.32,108.49,101.59,108.41,63897759,97.1218168282,102.9783610994,96.4289031624,102.9024253552,63897759,0.0,1.0
MSFT,2018-10-25 00:00:00+00:00,108.3,109.27,106.15,106.55,61646819,102.7980137069,103.7187346053,100.7572405816,101.1369193026,61646819,0.0,1.0
MSFT,2018-10-26 00:00:00+00:00,106.96,108.75,104.76,105.69,55523104,101.5260899916,103.2251522681,99.4378570262,100.3206100525,55523104,0.0,1.0
MSFT,2018-10-29 00:00:00+00:00,103.85,108.7,101.63,108.11,55162001,98.574087936,103.1776924279,96.4668710345,102.6176663145,55162001,0.0,1.0
MSFT,2018-10-30 00:00:00+00:00,103.73,104.38,100.11,103.66,65350878,98.4601843197,99.0771622413,95.0240918948,98.3937405435,65350878,0.0,1.0
MSFT,2018-10-31 00:00:00+00:00,106.81,108.14,105.39,105.44,51062383,101.3837104713,102.6461422185,100.0358510118,100.0833108519,51062383,0.0,1.0
MSFT,2018-11-01 00:00:00+00:00,105.92,107.32,105.53,107.05,33384201,100.5389253171,101.8678008405,100.1687385641,101.6115177039,33384201,0.0,1.0
MSFT,2018-11-02 00:00:00+00:00,106.16,107.32,104.98,106.48,37680194,100.7667325497,101.8678008405,99.6466803228,101.0704755265,37680194,0.0,1.0
MSFT,2018-11-05 00:00:00+00:00,107.51,107.74,105.9,106.37,27922144,102.048148233,102.2664634976,100.519941381,100.9660638782,27922144,0.0,1.0
MSFT,2018-11-06 00:00:00+00:00,107.72,108.84,106.28,107.38,24340248,102.2474795615,103.3105799803,100.880636166,101.9247526487,24340248,0.0,1.0
MSFT,2018-11-07 00:00:00+00:00,111.96,112.24,109.4,109.44,37901704,106.272074004,106.5378491087,103.8421301897,103.8800980618,37901704,0.0,1.0
MSFT,2018-11-08 00:00:00+00:00,111.75,112.21,110.91,111.8,25644105,106.0727426754,106.5093732046,105.2754173614,106.1202025156,25644105,0.0,1.0
MSFT,2018-11-09 00:00:00+00:00,109.57,111.45,108.76,110.85,32039223,104.0034936461,105.7879836347,103.2346442361,105.2184655532,32039223,0.0,1.0
MSFT,2018-11-12 00:00:00+00:00,106.87,109.96,106.1,109.42,33621807,101.4406622794,104.373680399,100.7097807415,103.8611141257,33621807,0.0,1.0
MSFT,2018-11-13 00:00:00+00:00,106.94,108.74,106.64,107.55,35374583,101.5071060556,103.2156603,101.2223470149,102.0861161051,35374583,0.0,1.0
MSFT,2018-11-14 00:00:00+00:00,104.97,108.26,104.47,108.1,39495141,100.0738188839,103.2103613639,99.5971406954,103.0578243436,39495141,0.46,1.0
MSFT,2018-11-15 00:00:00+00:00,107.28,107.8,103.91,104.99,38505165,102.2760721145,102.7718174305,99.0632611243,100.0928860114,38505165,0.0,1.0
MSFT,2018-11-16 00:00:00+00:00,108.29,108.88,106.8,107.08,33502121,103.2389620552,103.8014423176,101.8184610536,102.0854008391,33502121,0.0,1.0
MSFT,2018-11-19 00:00:00+00:00,104.62,108.56,103.55,108.27,44773899,99.740144152,103.496368277,98.7200528287,103.2198949277,44773899,0.0,1.0
MSFT,2018-11-20 00:00:00+00:00,101.71,102.97,99.35,101.8,64052457,96.9658770952,98.1671061301,94.7159560457,97.0516791691,64052457,0.0,1.0
MSFT,2018-11-21 00:00:00+00:00,103.11,104.43,102.24,103.6,28130621,98.3005760228,99.5590064403,97.4711559749,98.7677206475,28130621,0.0,1.0
MSFT,2018-11-23 00:00:00+00:00,103.07,103.8099,102.0,102.17,13823099,98.2624417677,98.967830151,97.2423504445,97.4044210285,13823099,0.0,1.0
MSFT,2018-11-26 00:00:00+00:00,106.47,106.63,104.58,104.79,32336165,101.5038534492,101.6563904695,99.7020098969,99.902214736,32336165,0.0,1.0
MSFT,2018-11-27 00:00:00+00:00,107.14,107.33,105.36,106.27,29124486,102.1426022218,102.3237399334,100.4456278709,101.3131821738,29124486,0.0,1.0
MSFT,2018-11-28 00:00:00+00:00,111.12,111.33,107.86,107.89,46788461,105.9369606018,106.137165441,102.8290188131,102.8576195044,46788461,0.0,1.0
MSFT,2018-11-29 00:00:00+00:00,110.19,111.12,109.03,110.33,28123195,105.0503391713,105.9369606018,103.9444457741,105.1838090641,28123195,0.0,1.0
MSFT,2018-11-30 00:00:00+00:00,110.89,110.97,109.36,110.7,33665624,105.7176886352,105.7939571453,104.2590533785,105.5365509235,33665624,0.0,1.0
MSFT,2018-12-03 00:00:00+00:00,112.09,113.42,110.73,113.0,34732772,106.8617162874,108.1296802687,105.5651516148,107.7292705904,34732772,0.0,1.0
MSFT,2018-12-04 00:00:00+00:00,108.52,112.64,108.21,111.94,45196984,103.4582340219,107.3860622947,103.162693545,106.7187128309,45196984,0.0,1.0
MSFT,2018-12-06 00:00:00+00:00,109.19,109.24,105.0,105.82,49107431,104.0969827944,104.1446506133,100.1024195752,100.8841718042,49107431,0.0,1.0
MSFT,2018-12-07 00:00:00+00:00,104.82,109.45,104.3,108.38,45044937,99.9308154273,104.3448554524,99.4350701113,103.3247641291,45044937,0.0,1.0
MSFT,2018-12-10 00:00:00+00:00,107.59,107.98,103.89,104.8,40801525,102.5716125914,102.9434215784,99.0441939968,99.9117482998,40801525,0.0,1.0
MSFT,2018-12-11 00:00:00+00:00,108.59,110.95,107.44,109.8,42381947,103.5249689683,105.7748900178,102.4286091348,104.6785301843,42381947,0.0,1.0
MSFT,2018-12-12 00:00:00+00:00,109.08,111.27,109.04,110.89,36183020,103.992113593,106.0799640584,103.9539793379,105.7176886352,36183020,0.0,1.0
MSFT,2018-12-13 00:00:00+00:00,109.45,110.87,108.63,109.58,31333362,104.3448554524,105.6986215076,103.5631032233,104.4687917814,31333362,0.0,1.0
MSFT,2018-12-14 00:00:00+00:00,106.03,109.26,105.5,108.25,47043136,101.0843766434,104.1637177408,100.5790977636,103.2008278001,47043136,0.0,1.0
MSFT,2018-12-17 00:00:00+00:00,102.89,105.8,101.71,105.41,56957314,98.0908376199,100.8651046767,96.9658770952,100.4932956897,56957314,0.0,1.0
MSFT,2018-12-18 00:00:00+00:00,103.97,104.51,102.52,103.75,49319196,99.120462507,99.6352749505,97.7380957604,98.910724104,49319196,0.0,1.0
MSFT,2018-12-19 00:00:00+00:00,103.69,106.88,101.35,103.65,68198186,98.8535227214,101.8947295638,96.6226687995,98.8153884664,68198186,0.0,1.0
MSFT,2018-12-20 00:00:00+00:00,101.51,104.31,98.78,103.05,70334184,96.7752058198,99.4446036751,94.1725429108,98.2433746402,70334184,0.0,1.0
MSFT,2018-12-21 00:00:00+00:00,98.23,103.0,97.46,101.63,111242070,93.6481969035,98.1957068214,92.9141124933,96.889608585,111242070,0.0,1.0
MSFT,2018-12-24 00:00:00+00:00,94.13,97.97,93.98,97.68,43935192,89.7394357582,93.4003242455,89.5964323017,93.1238508962,43935192,0.0,1.0
MSFT,2018-12-26 00:00:00+00:00,100.56,100.69,93.96,95.14,51634793,95.8695172617,95.9934535907,89.5773651741,90.7023256989,51634793,0.0,1.0
MSFT,2018-12-27 00:00:00+00:00,101.18,101.19,96.4,99.3,49498509,96.4605982154,96.4701317792,91.9035547338,94.6682882268,49498509,0.0,1.0
MSFT,2018-12-28 00:00:00+00:00,100.39,102.41,99.52,102.09,38169312,95.7074466776,97.633226559,94.8780266297,97.3281525184,38169312,0.0,1.0
MSFT,2018-12-31 00:00:00+00:00,101.57,102.4,100.44,101.29,33173765,96.8324072024,97.6236929952,95.7551144965,96.5654674169,33173765,0.0,1.0
MSFT,2019-01-02 00:00:00+00:00,101.12,101.75,98.94,99.55,35329345,96.4033968328,97.0040113502,94.3250799311,94.906627321,35329345,0.0,1.0
MSFT,2019-01-03 00:00:00+00:00,97.4,100.19,97.2,100.1,42578410,92.8569111107,95.5167754023,92.6662398353,95.4309733283,42578410,0.0,1.0
MSFT,2019-01-04 00:00:00+00:00,101.93,102.51,98.93,99.72,44060620,97.1756154981,97.7285621967,94.3155463674,95.0686979051,44060620,0.0,1.0
MSFT,2019-01-07 00:00:00+00:00,102.06,103.27,100.98,101.64,35656136,97.2995518271,98.4531130431,96.26992694,96.8991421488,35656136,0.0,1.0
MSFT,2019-01-08 00:00:00+00:00,102.8,103.97,101.71,103.04,31514415,98.005035546,99.120462507,96.9658770952,98.2338410764,31514415,0.0,1.0
MSFT,2019-01-09 00:00:00+00:00,104.27,104.88,103.24,103.86,32280840,99.40646942,99.9880168099,98.4245123518,99.0155933055,32280840,0.0,1.0
MSFT,2019-01-10 00:00:00+00:00,103.6,103.75,102.38,103.22,30067556,98.7677206475,98.910724104,97.6046258677,98.4054452243,30067556,0.0,1.0
MSFT,2019-01-11 00:00:00+00:00,102.8,103.44,101.64,103.19,28314202,98.005035546,98.6151836272,96.8991421488,98.376844533,28314202,0.0,1.0
MSFT,2019-01-14 00:00:00+00:00,102.05,102.87,101.26,101.9,28437079,97.2900182633,98.0717704924,96.5368667255,97.1470148068,28437079,0.0,1.0
MSFT,2019-01-15 00:00:00+00:00,105.01,105.05,101.88,102.51,31587616,100.1119531389,100.150087394,97.1279476792,97.7285621967,31587616,0.0,1.0
MSFT,2019-01-16 00:00:00+00:00,105.38,106.26,104.96,105.26,29853865,100.4646949984,101.3036486101,100.0642853201,100.3502922332,29853865,0.0,1.0
MSFT,2019-01-17 00:00:00+00:00,106.12,106.63,104.76,105.0,28393015,101.1701787173,101.6563904695,99.8736140447,100.1024195752,28393015,0.0,1.0
MSFT,2019-01-18 00:00:00+00:00,107.71,107.9,105.91,107.46,37427587,102.6860153566,102.8671530682,100.9699738782,102.4476762624,37427587,0.0,1.0
MSFT,2019-01-22 00:00:00+00:00,105.68,107.1,104.86,106.75,32371253,100.7507019115,102.1044679667,99.9689496824,101.7707932348,32371253,0.0,1.0
MSFT,2019-01-23 00:00:00+00:00,106.71,107.04,105.34,106.12,25874294,101.7326589797,102.0472665841,100.4265607433,101.1701787173,25874294,0.0,1.0
MSFT,2019-01-24 00:00:00+00:00,106.2,107.0,105.34,106.86,23164838,101.2464472275,102.009132329,100.4265607433,101.8756624362,23164838,0.0,1.0
MSFT,2019-01-25 00:00:00+00:00,107.17,107.88,106.2,107.24,31218193,102.1712029131,102.8480859407,101.2464472275,102.2379378594,31218193,0.0,1.0
MSFT,2019-01-28 00:00:00+00:00,105.08,106.48,104.66,106.26,29476719,100.1786880853,101.513387013,99.778278407,101.3036486101,29476719,0.0,1.0
MSFT,2019-01-29 00:00:00+00:00,102.94,104.97,102.17,104.88,31490547,98.1385054387,100.0738188839,97.4044210285,99.9880168099,31490547,0.0,1.0
MSFT,2019-01-30 00:00:00+00:00,106.38,106.38,104.33,104.62,49471866,101.4180513753,101.4180513753,99.4636708026,99.740144152,49471866,0.0,1.0
MSFT,2019-01-31 00:00:00+00:00,104.43,105.22,103.18,103.8,55636391,99.5590064403,100.3121579781,98.3673109692,98.9583919229,55636391,0.0,1.0
MSFT,2019-02-01 00:00:00+00:00,102.78,104.1,102.35,103.78,35535690,97.9859684184,99.244398836,97.5760251764,98.9393247953,35535690,0.0,1.0
MSFT,2019-02-04 00:00:00+00:00,105.74,105.8,102.77,102.87,31315282,100.8079032941,100.8651046767,97.9764348547,98.0717704924,31315282,0.0,1.0
MSFT,2019-02-05 00:00:00+00:00,107.22,107.27,105.96,106.06,27325365,102.2188707319,102.2665385508,101.017641697,101.1129773347,27325365,0.0,1.0
MSFT,2019-02-06 00:00:00+00:00,106.03,107.0,105.53,107.0,20609759,101.0843766434,102.009132329,100.6076984549,102.009132329,20609759,0.0,1.0
MSFT,2019-02-07 00:00:00+00:00,105.27,105.59,104.29,105.19,29760697,100.3598257969,100.6648998375,99.4255365476,100.2835572868,29760697,0.0,1.0
MSFT,2019-02-08 00:00:00+00:00,105.67,105.78,104.26,104.39,21461093,100.7411683477,100.8460375492,99.3969358563,99.5208721853,21461093,0.0,1.0
